Max_Speed_kmph,Engine_Eff,Max_Flight_Distance_km,Wingspan_m,Cargo_Capacity_Tons,Fuel_Efficiency_L_per_km
2.911379783,1.152811827,376.017335,0.425529541,4.394394098,9.915542946
56.68726794,2.161220196,626.5352106,4.646999111,41.19411049,9.468718106
24.84303876,0.896629261,950.1924682,4.972479657,18.72474497,9.692890265
46.06772611,1.453336613,710.1807928,2.109168034,40.15075726,9.481406622
57.72967114,0.427838092,334.9545405,4.042980853,34.40569407,9.564717934
63.25319474,6.725046423,605.0368756,3.205621633,31.02105523,9.566032565
53.34279395,7.577471254,369.4925635,2.376191693,20.07247785,9.708983171
20.92104911,3.218889625,55.01507761,1.62763817,19.52915465,9.778285897
9.338409765,2.204551297,249.5417474,1.137351041,17.51108508,9.790596565
14.48761051,7.315013568,342.6548553,0.61182617,29.67998907,9.654447013
17.96481751,0.580563207,163.292142,2.09997406,34.6754486,9.618951482
64.15008848,0.052059794,793.2906525,1.678438892,33.98578455,9.516663001
3.267317171,3.937882434,19.61050132,4.081727676,9.348359026,9.901288042
67.45479075,2.770661627,135.3511143,4.651476695,29.75123079,9.62149779
89.06310473,3.065994017,829.8353337,4.708411667,19.75919134,9.630361449
90.41310512,3.350857427,324.5999991,4.978663361,47.62052241,9.400921671
22.8618346,8.37202027,342.4578776,4.89621687,42.49088144,9.517983563
90.49193013,5.736735115,294.1513523,0.987625032,26.39359603,9.616156974
67.15157252,7.417886351,170.3832126,2.679439963,21.805491,9.697755196
20.8224211,5.529623174,275.9137218,2.675272786,10.00546725,9.851531534
89.99425369,3.381028249,610.3346027,0.609664937,31.50085963,9.53396369
27.20403393,9.565315904,394.154266,3.037032784,10.79066828,9.825473857
86.14762029,8.043329181,245.6353123,4.55524254,2.007751102,9.869211337
75.25731205,4.578687853,835.4593945,2.327429837,3.279104784,9.808405701
22.65455323,9.943748347,334.1776028,0.801526085,40.29154129,9.541012274
4.506982739,0.664087515,297.5187795,0.237004873,49.78563419,9.467884797
69.11288861,5.195864409,805.16639,3.312434003,8.663247684,9.763737996
21.96337996,8.676942857,336.9613268,2.238201713,19.55678561,9.748772631
5.202981201,7.045737173,540.0740808,3.380700409,13.91156948,9.801673916
40.69139083,1.926497623,419.6826314,3.267457059,47.23445216,9.444995824
66.34571999,5.2515973,416.3672225,0.527748421,23.85371485,9.653480409
15.51080932,5.821871831,730.2470776,4.732478058,14.84264338,9.763038049
39.69055388,1.829519395,877.9405099,4.120386122,38.74799473,9.485035448
5.729003855,5.56719442,235.013562,0.598425984,39.08065501,9.57996309
21.15813751,5.008116982,526.0963484,1.06641002,24.61305832,9.680101644
5.28198976,0.000724496,880.3219317,2.07794351,45.37098995,9.452975918
49.63073597,4.311082946,295.9121407,0.408444688,15.48473246,9.765930725
60.84702652,7.627863472,540.8255177,3.791279218,7.887579583,9.806194626
58.32399317,8.82603227,217.9602076,1.138344692,37.42162565,9.54566373
81.20567848,2.480463297,331.5698042,3.158847002,19.92158566,9.686421485
62.40109701,4.964300321,773.6513091,4.229443235,43.19136047,9.428320167
61.15250777,6.125841045,449.6468988,0.138070225,14.95901097,9.744292693
6.36977185,4.377852489,849.485249,2.984010089,33.77662991,9.570915404
18.80079718,2.619531497,163.132153,4.213443811,14.01565065,9.824729481
56.23263097,1.41128613,123.9889083,1.737916816,16.5176579,9.766191899
32.88532338,6.00932787,315.990156,3.843679345,4.533538412,9.890180277
32.47858577,6.691931285,602.9321105,0.597578092,21.97367466,9.687491457
30.92214629,6.318704323,129.8702796,3.352829615,23.19162656,9.72417456
27.48899879,7.474439937,187.9098553,0.761189693,0.767796828,9.946042047
86.13003563,4.923655407,516.7156093,0.573813084,5.388806802,9.808310335
33.37834049,5.16230644,700.872219,2.496351783,41.57792155,9.480755222
37.73923317,0.28087992,426.152275,0.425013147,16.10272137,9.758618326
98.51546831,8.573542571,236.4557132,1.879812157,21.55825655,9.662256395
76.38683777,0.334571278,38.62277003,0.585589338,31.41624913,9.605588394
41.45466172,8.489256288,284.0578902,2.446260149,35.33928608,9.576746688
54.52011972,3.167999778,152.5427686,2.703017093,7.107825113,9.859147352
93.93044597,5.398906106,174.9153049,3.603212735,5.177359716,9.836804426
77.164479,4.572891111,132.6619555,0.186055182,49.66889968,9.412880329
27.43682901,9.522486221,501.8363367,2.51507692,4.553485919,9.876844678
95.07058188,7.328958646,518.7278382,0.601285695,8.783828474,9.76521835
43.21666051,3.622588207,558.1380069,0.381719874,2.017300966,9.880796529
51.11030867,0.285013809,59.55195401,1.881707291,3.088953487,9.912044961
38.54696266,2.417505159,187.7702971,2.023399157,5.995195282,9.882724055
34.96393671,4.348736294,830.002947,4.664030912,15.41692172,9.727866551
29.26420497,5.665182743,137.4144264,1.748560924,2.660818958,9.930386163
37.90681438,1.141513457,561.8129118,3.207968672,49.35457683,9.412366126
19.51386623,2.072021488,947.4195186,4.323204192,30.80270247,9.577717157
84.14072368,2.096921447,874.0288229,4.336537548,12.40561242,9.70440027
50.83733143,9.297742639,679.1499962,3.302595527,27.98823003,9.601365369
26.88315647,9.784153715,447.5096456,1.557250483,36.42903548,9.564075524
60.77048133,3.422413082,303.7915909,1.072533426,3.924321837,9.869607141
62.57109065,5.056936381,234.8484108,0.275622628,0.945053413,9.904493534
73.84959297,1.882531892,266.6436194,0.070560969,7.531952742,9.824166518
87.44457176,2.420608347,953.9581985,0.821734192,12.66307293,9.690528879
86.77099685,4.266083387,267.8289392,3.464068814,2.561420199,9.860831907
89.06051766,8.415615454,85.79703513,3.993093733,48.05852209,9.421774558
49.20696192,5.681533501,679.7967402,1.333634716,32.48306295,9.557982735
47.48675001,4.055418046,902.8015596,3.98951555,46.73038141,9.39492928
