,MonthlyCharges,Contract,ServiceUsage,CustomerSupportCalls,Churn
0,79.39321535345923,One year,9.246997417085254,10,Yes
1,94.36704297351775,One year,10.13462766918191,9,No
2,84.24870384644794,Two year,3.1111582254211303,8,No
3,79.03948646972071,Month-to-month,0.9913523255781937,0,No
4,68.12893194050142,Two year,0.11394010379738173,0,No
5,88.13047017599905,One year,8.563321949081644,0,No
6,69.38284901364233,Month-to-month,5.820768390071191,2,Yes
7,110.25957007038718,Month-to-month,13.329251611764796,6,No
8,116.72964844509264,Month-to-month,22.17443235530837,8,No
9,64.50973669432,Two year,0.9371342391073174,3,No
10,101.25525342743981,Two year,10.446387824343407,7,No
11,77.6005427777614,Two year,16.02349736882303,3,No
12,81.12401049845391,One year,2.02097992294759,3,No
13,113.3036974463395,Two year,14.687274298035486,5,No
14,36.39324523780982,Two year,8.858374565216605,5,Yes
15,37.84163697313866,Two year,18.366488581219766,4,No
16,31.819655769629314,Month-to-month,5.942762036842647,8,No
17,104.93578609931441,Month-to-month,2.963885408492998,10,No
18,100.03410758548654,One year,2.569022194188869,9,No
19,108.30109334221372,Month-to-month,11.874353121842258,2,No
20,118.07565080094876,One year,13.48956761968289,8,No
21,101.92427077950512,Month-to-month,5.25079943595019,5,No
22,71.53314260276386,One year,13.219182881657458,7,Yes
23,100.24762586578099,One year,17.228464013268727,5,Yes
24,40.64469832820399,Month-to-month,5.995270963346152,4,Yes
25,87.59289191947715,Month-to-month,0.24395862497682685,4,Yes
26,42.901795866814176,Two year,19.945597961417434,7,No
27,115.02020253446256,Two year,20.24827609621077,8,No
28,76.96634895750645,One year,9.064334805227652,8,No
29,67.31957459914713,One year,22.517850448864273,5,Yes
30,53.81000508941643,One year,19.843118422182954,6,Yes
31,99.6810320490795,Month-to-month,7.616969946724909,6,Yes
32,71.05352989948938,Month-to-month,14.356620491214352,3,Yes
33,81.15905539817837,Two year,9.69891730160909,6,No
34,31.69108203927196,Month-to-month,2.804811564953451,0,No
35,85.58719473682893,One year,9.899555719639826,5,No
